"name","policy","level","miss","miss_ratio"
"164.gzip","2",1,0.030569095546046133,0.9550368505884919
"164.gzip","2",2,0.0013179301485431174,0.7486485774730726
"164.gzip","2",3,0.0003449954971541534,0.9018481488214265
"164.gzip","f",1,0.03155225420933743,0.9857526024498504
"164.gzip","f",2,0.0017161566484160946,0.9748606441531993
"164.gzip","f",3,0.0003816294793422866,0.9976125552929771
"164.gzip","l",1,0.030335734328791098,0.947746201061716
"164.gzip","l",2,0.0009170904678770864,0.5209520967019847
"164.gzip","l",3,0.0003458176214485973,0.9039972530247026
"164.gzip","r",1,0.03200828902801972,1.0
"164.gzip","r",2,0.0017604122791384331,1.0
"164.gzip","r",3,0.0003825427790754,1.0
"168.wupwise","2",1,0.014117112104343575,0.9021613628829951
"168.wupwise","2",2,0.013033906607763466,0.9732836583131999
"168.wupwise","2",3,0.012023785135706776,0.9856223000692734
"168.wupwise","f",1,0.014451329082143588,0.9235196720018923
"168.wupwise","f",2,0.012859472921425811,0.9602581348472999
"168.wupwise","f",3,0.01205367052013824,0.988072086139911
"168.wupwise","l",1,0.013725235035161012,0.8771182557515048
"168.wupwise","l",2,0.01291675189583409,0.9645353397893173
"168.wupwise","l",3,0.012045034021924717,0.9873641289419336
"168.wupwise","r",1,0.01564810097744618,1.0
"168.wupwise","r",2,0.013391683397163536,1.0
"168.wupwise","r",3,0.012199181303894704,1.0
"171.swim","2",1,0.08675141607648347,0.9887674661906188
"171.swim","2",2,0.07343816973933721,0.9355429289147471
"171.swim","2",3,0.07008940181429028,0.9636855591153783
"171.swim","f",1,0.08684509926148215,0.9898352399474661
"171.swim","f",2,0.0698498089823126,0.8898301130242481
"171.swim","f",3,0.06981769759869869,0.9599497956170657
"171.swim","l",1,0.08679202059463839,0.9892302647055911
"171.swim","l",2,0.06982745077900207,0.8895452875842261
"171.swim","l",3,0.06981352331666214,0.9598924018426268
"171.swim","r",1,0.08773692404211766,1.0
"171.swim","r",2,0.07849791545592387,1.0
"171.swim","r",3,0.07273057186685387,1.0
"172.mgrid","2",1,0.03662583896243633,0.8192415527577949
"172.mgrid","2",2,0.033496409293309895,0.9867474370764372
"172.mgrid","2",3,0.021863005940075696,0.9088115059265682
"172.mgrid","f",1,0.03487724047399952,0.7801291506559314
"172.mgrid","f",2,0.033581112900585595,0.9892426617633149
"172.mgrid","f",3,0.021443353228983414,0.8913671886456197
"172.mgrid","l",1,0.034596732610063165,0.7738547906816062
"172.mgrid","l",2,0.03354791859611221,0.9882648138221272
"172.mgrid","l",3,0.02143425543921169,0.890989007527904
"172.mgrid","r",1,0.044707008377619,1.0
"172.mgrid","r",2,0.03394628456553583,1.0
"172.mgrid","r",3,0.02405670020405994,1.0
"173.applu","2",1,0.057324535003819975,0.9568937800496525
"173.applu","2",2,0.055373822399131946,0.9648423519175595
"173.applu","2",3,0.054713554771243296,0.9682209998711294
"173.applu","f",1,0.05817986721708292,0.9711714723971416
"173.applu","f",2,0.0552489104393748,0.962665865920873
"173.applu","f",3,0.0547315539672635,0.9685395169121154
"173.applu","l",1,0.05720266217532802,0.9548594093995767
"173.applu","l",2,0.055104030785137995,0.960141459616911
"173.applu","l",3,0.05488165459248086,0.9711957248305527
"173.applu","r",1,0.05990689478705301,1.0
"173.applu","r",2,0.05739157520301652,1.0
"173.applu","r",3,0.056509365918034925,1.0
"176.gcc","2",1,0.02988593414690694,0.9788942942319153
"176.gcc","2",2,0.02490424889840995,1.0270108887005849
"176.gcc","2",3,0.0022273427830005236,1.0072845337403777
"176.gcc","f",1,0.030595052215328218,1.002120994381296
"176.gcc","f",2,0.02578281228479908,1.0632414198005573
"176.gcc","f",3,0.002380942208744468,1.0767477197053386
"176.gcc","l",1,0.029967806828726233,0.9815759805627629
"176.gcc","l",2,0.025571287468947445,1.0545184789884823
"176.gcc","l",3,0.0022966767166075187,1.0386398327624824
"176.gcc","r",1,0.030530297625605014,1.0
"176.gcc","r",2,0.024249254971307848,1.0
"176.gcc","r",3,0.0022112349672735168,1.0
"177.mesa","2",1,0.004025448491534097,0.9015468257398687
"177.mesa","2",2,0.0016508833749171994,0.8756544375614239
"177.mesa","2",3,0.0014976753828761487,0.9497687684527415
"177.mesa","f",1,0.004229240169751753,0.9471883836919143
"177.mesa","f",2,0.0016525206284504523,0.8765228625171709
"177.mesa","f",3,0.0015056146905122578,0.9548035754089952
"177.mesa","l",1,0.003915263811413146,0.8768696627312944
"177.mesa","l",2,0.0015727381653751482,0.8342049926464574
"177.mesa","l",3,0.0014957624226425636,0.9485556418260207
"177.mesa","r",1,0.00446504649187861,1.0
"177.mesa","r",2,0.0018853137768760477,1.0
"177.mesa","r",3,0.0015768842192147425,1.0
"178.galgel","2",1,0.03952963229308313,0.8097795248853615
"178.galgel","2",2,0.028791982487475137,0.9768961040637529
"178.galgel","2",3,0.00020771700806394188,0.768640990001345
"178.galgel","f",1,0.04429126995622101,0.9073234801628494
"178.galgel","f",2,0.02915690793753439,0.9892778235438782
"178.galgel","f",3,0.0002337073821114922,0.8648163924135766
"178.galgel","l",1,0.04101488220692353,0.8402054332431318
"178.galgel","l",2,0.028740948055563306,0.9751645339042663
"178.galgel","l",3,0.00017515452264884316,0.6481459893287899
"178.galgel","r",1,0.048815302286976496,1.0
"178.galgel","r",2,0.029472921805813807,1.0
"178.galgel","r",3,0.000270239306472035,1.0
"179.art","2",1,0.3274072450097636,0.9866945563705345
"179.art","2",2,0.32708839372289233,0.9975372346102759
"179.art","2",3,0.038472553720127645,0.8386064616378422
"179.art","f",1,0.3278015427529118,0.9878828362350863
"179.art","f",2,0.3273246960038415,0.9982578970623647
"179.art","f",3,0.06042038753128609,1.317014923599694
"179.art","l",1,0.32725891792440753,0.9862475487678811
"179.art","l",2,0.3272651207493812,0.998076207538291
"179.art","l",3,0.041845170185354066,0.9121211542402566
"179.art","r",1,0.33182228775448114,1.0
"179.art","r",2,0.3278959244570768,1.0
"179.art","r",3,0.04587676756626551,1.0
"181.mcf","2",1,0.30674190055287065,0.9966472523313623
"181.mcf","2",2,0.2739527380784059,0.9661004066037553
"181.mcf","2",3,0.18405430749543858,1.0040557959922853
"181.mcf","f",1,0.3085385543108705,1.0024848311820962
"181.mcf","f",2,0.2751706129201235,0.9703952692433071
"181.mcf","f",3,0.21148865379101472,1.1537160499801762
"181.mcf","l",1,0.30751269118230984,0.9991516586793986
