name,policy,level,miss
191.fma3d,2,1,0.025210672718422436
191.fma3d,2,2,0.02395547151577596
191.fma3d,2,3,0.022613389190155205
191.fma3d,f,1,0.02596511076558692
191.fma3d,f,2,0.02379236056923621
191.fma3d,f,3,0.022365573333740726
191.fma3d,l,1,0.024535177922921404
191.fma3d,l,2,0.023497938302866242
191.fma3d,l,3,0.02235152477858829
191.fma3d,r,1,0.027150908385757958
191.fma3d,r,2,0.024993278986308078
191.fma3d,r,3,0.02364050378455767
197.parser,2,1,0.021817433833004576
197.parser,2,2,0.0057057418147013345
197.parser,2,3,0.0019156193007086831
197.parser,f,1,0.02331068720602721
197.parser,f,2,0.0060043873565672964
197.parser,f,3,0.0019279834976067736
197.parser,l,1,0.021172620718967042
197.parser,l,2,0.005644006375853627
197.parser,l,3,0.0018542260444319562
197.parser,r,1,0.02391839489752406
197.parser,r,2,0.006115802001678503
197.parser,r,3,0.0021119893236300393
200.sixtrack,2,1,0.002271797643118572
200.sixtrack,2,2,0.0021820465676665947
200.sixtrack,2,3,0.00012128759071560536
200.sixtrack,f,1,0.0027270579835833642
200.sixtrack,f,2,0.002220912305171365
200.sixtrack,f,3,0.0002377794924930993
200.sixtrack,l,1,0.002166339066229098
200.sixtrack,l,2,0.002164793833686962
200.sixtrack,l,3,0.00022804229975051501
200.sixtrack,r,1,0.0028208554215768734
200.sixtrack,r,2,0.002215480701399399
200.sixtrack,r,3,0.0001000857041053485
252.eon,2,1,0.001116810444514129
252.eon,2,2,0.0000016118219677134522
252.eon,2,3,0.0000016118219677134522
252.eon,f,1,0.0012779216223098853
252.eon,f,2,0.0000016118219677134522
252.eon,f,3,0.0000016118219677134522
252.eon,l,1,0.0009493353489492972
252.eon,l,2,0.0000016118219677134522
252.eon,l,3,0.0000016118219677134522
252.eon,r,1,0.0014490763242186351
252.eon,r,2,0.0000016118219677134522
252.eon,r,3,0.0000016118219677134522
253.perlbmk,2,1,0.004282546557145242
253.perlbmk,2,2,0.001397543857985436
253.perlbmk,2,3,0.0003712468934244377
253.perlbmk,f,1,0.004600712772269697
253.perlbmk,f,2,0.0014859000902659916
253.perlbmk,f,3,0.000405624665821724
253.perlbmk,l,1,0.004216229652360605
253.perlbmk,l,2,0.001283628741802737
253.perlbmk,l,3,0.0003484918666593111
253.perlbmk,r,1,0.0045627722910102485
253.perlbmk,r,2,0.0015947221641491322
253.perlbmk,r,3,0.00042360871495843627
254.gap,2,1,0.009657192098875547
254.gap,2,2,0.009107826694866681
254.gap,2,3,0.009042719982838005
254.gap,f,1,0.00953001299597413
254.gap,f,2,0.009092712242396444
254.gap,f,3,0.008988145067013236
254.gap,l,1,0.0093287203390512
254.gap,l,2,0.00905259841279986
254.gap,l,3,0.008975454434438965
254.gap,r,1,0.010307000547415696
254.gap,r,2,0.009601867695333752
254.gap,r,3,0.009560032771759593
255.vortex,2,1,0.010957943153944286
255.vortex,2,2,0.004851680126363072
255.vortex,2,3,0.001432685667891851
