"name","policy","size","assoc","level","miss","miss_ratio"
"164.gzip","2",16,16,1,0.022680853119863877,1.01950284062887
"164.gzip","2",16,32,1,0.022699086662251365,1.0208429950947153
"164.gzip","2",16,4,1,0.022530016492029695,1.0112965009113573
"164.gzip","2",16,64,1,0.022666751833798463,1.0213115765441894
"164.gzip","2",16,8,1,0.022637832220929622,1.016913956186653
"164.gzip","2",17,16,1,0.009913235010914736,1.0576048805925586
"164.gzip","2",17,32,1,0.009983203660688299,1.0650771171141464
"164.gzip","2",17,4,1,0.00957221878078726,1.0249580078469192
"164.gzip","2",17,64,1,0.01001387260570246,1.0683069969462662
"164.gzip","2",17,8,1,0.009775595641491363,1.0444589007621488
"164.gzip","2",18,16,1,0.0013995877986233986,1.4752851029726293
"164.gzip","2",18,32,1,0.0014414280528942038,1.4983301982718877
"164.gzip","2",18,4,1,0.0011285093113411252,1.2541311314371288
"164.gzip","2",18,64,1,0.0014605223532365885,1.5051104096927386
"164.gzip","2",18,8,1,0.0013039401274198082,1.4560669961483774
"164.gzip","2",19,16,1,0.00044033255372770023,1.2947508565300763
"164.gzip","2",19,32,1,0.0004516336720834675,1.3279745541292742
"164.gzip","2",19,4,1,0.00044954899976541333,1.2903819624646804
"164.gzip","2",19,64,1,0.00045730200274515955,1.344653819414467
"164.gzip","2",19,8,1,0.0004282525807771967,1.2591451640018356
"164.gzip","2",20,16,1,0.000357450989284262,1.051285314329346
"164.gzip","2",20,32,1,0.0003594908465561904,1.0572846598552885
"164.gzip","2",20,4,1,0.00035460755187490716,1.0429368105771721
"164.gzip","2",20,64,1,0.00036173314420889357,1.063874559709124
"164.gzip","2",20,8,1,0.0003579903151841885,1.052881075528811
"164.gzip","2",21,16,1,0.00034373758516979754,1.0110774237830515
"164.gzip","2",21,32,1,0.0003437638560589057,1.0111501013645579
"164.gzip","2",21,4,1,0.00034017401632959523,1.0005909144628586
"164.gzip","2",21,64,1,0.00034430318195883224,1.0127364794225402
"164.gzip","2",21,8,1,0.00034273156465159646,1.0081137101246376
"164.gzip","2",22,16,1,0.0003404459972991857,1.0014409942405686
"164.gzip","2",22,32,1,0.0003406963434189224,1.0021774013919005
"164.gzip","2",22,4,1,0.00033996230387031175,1.0000181828926253
"164.gzip","2",22,64,1,0.0003407210689616124,1.0022501329624023
"164.gzip","2",22,8,1,0.0003400163909949462,1.0001772832030982
"164.gzip","2",23,16,1,0.0003399669399095661,1.0000318200620943
"164.gzip","2",23,32,1,0.00034002257238061875,1.0001954660957237
"164.gzip","2",23,4,1,0.0003399576678310574,1.0000045457231563
"164.gzip","2",23,64,1,0.00034007820485167133,1.000359112129353
"164.gzip","2",23,8,1,0.0003399561224846393,1.0
"164.gzip","2",24,16,1,0.0003399561224846393,1.0
"164.gzip","2",24,32,1,0.0003399561224846393,1.0
"164.gzip","2",24,4,1,0.0003399561224846393,1.0
"164.gzip","2",24,64,1,0.0003399561224846393,1.0
"164.gzip","2",24,8,1,0.0003399561224846393,1.0
"164.gzip","2",25,16,1,0.0003399561224846393,1.0
"164.gzip","2",25,32,1,0.0003399561224846393,1.0
"164.gzip","2",25,4,1,0.0003399561224846393,1.0
"164.gzip","2",25,64,1,0.0003399561224846393,1.0
"164.gzip","2",25,8,1,0.0003399561224846393,1.0
"164.gzip","l",16,16,1,0.022246973932778278,1.0
"164.gzip","l",16,32,1,0.0222356295447228,1.0
"164.gzip","l",16,4,1,0.022278349101105523,1.0
"164.gzip","l",16,64,1,0.022193767655602145,1.0
"164.gzip","l",16,8,1,0.022261305475459993,1.0
"164.gzip","l",17,16,1,0.009373287881728112,1.0
"164.gzip","l",17,32,1,0.009373221431832132,1.0
"164.gzip","l",17,4,1,0.009339132635194654,1.0
"164.gzip","l",17,64,1,0.009373590769626064,1.0
"164.gzip","l",17,8,1,0.009359483302174978,1.0
"164.gzip","l",18,16,1,0.0009486897114349598,1.0
"164.gzip","l",18,32,1,0.000962022960330565,1.0
"164.gzip","l",18,4,1,0.0008998335844258554,1.0
"164.gzip","l",18,64,1,0.0009703755577205447,1.0
"164.gzip","l",18,8,1,0.0008955220679192793,1.0
"164.gzip","l",19,16,1,0.00034009056762301633,1.0
"164.gzip","l",19,32,1,0.0003400921129694345,1.0
"164.gzip","l",19,4,1,0.00034838444184910725,1.0
"164.gzip","l",19,64,1,0.0003400890222765982,1.0
"164.gzip","l",19,8,1,0.0003401137478192883,1.0
"164.gzip","l",20,16,1,0.00034001330030210996,1.0
"164.gzip","l",20,32,1,0.00034001330030210996,1.0
"164.gzip","l",20,4,1,0.0003400086642628556,1.0
"164.gzip","l",20,64,1,0.0003400148456485281,1.0
"164.gzip","l",20,8,1,0.0003400102096092737,1.0
"164.gzip","l",21,16,1,0.00033997157594882054,1.0
"164.gzip","l",21,32,1,0.00033997312129523864,1.0
"164.gzip","l",21,4,1,0.00033997312129523864,1.0
"164.gzip","l",21,64,1,0.00033997312129523864,1.0
"164.gzip","l",21,8,1,0.00033997312129523864,1.0
"164.gzip","l",22,16,1,0.0003399561224846393,1.0
"164.gzip","l",22,32,1,0.0003399561224846393,1.0
"164.gzip","l",22,4,1,0.0003399561224846393,1.0
"164.gzip","l",22,64,1,0.0003399561224846393,1.0
"164.gzip","l",22,8,1,0.0003399561224846393,1.0
"164.gzip","l",23,16,1,0.0003399561224846393,1.0
"164.gzip","l",23,32,1,0.0003399561224846393,1.0
"164.gzip","l",23,4,1,0.0003399561224846393,1.0
"164.gzip","l",23,64,1,0.0003399561224846393,1.0
"164.gzip","l",23,8,1,0.0003399561224846393,1.0
"164.gzip","l",24,16,1,0.0003399561224846393,1.0
"164.gzip","l",24,32,1,0.0003399561224846393,1.0
"164.gzip","l",24,4,1,0.0003399561224846393,1.0
"164.gzip","l",24,64,1,0.0003399561224846393,1.0
"164.gzip","l",24,8,1,0.0003399561224846393,1.0
"164.gzip","l",25,16,1,0.0003399561224846393,1.0
"164.gzip","l",25,32,1,0.0003399561224846393,1.0
"164.gzip","l",25,4,1,0.0003399561224846393,1.0
"164.gzip","l",25,64,1,0.0003399561224846393,1.0
"164.gzip","l",25,8,1,0.0003399561224846393,1.0
"168.wupwise","2",16,16,1,0.013776831167906354,1.0080965014775698
"168.wupwise","2",16,32,1,0.013790617589979811,1.0091052997774663
"168.wupwise","2",16,4,1,0.013841201178899446,1.0110724721864033
"168.wupwise","2",16,64,1,0.013799318684290669,1.0097419877521463
"168.wupwise","2",16,8,1,0.013833427038585328,1.0121180899965676
"168.wupwise","2",17,16,1,0.013621987862987595,0.996766102486439
"168.wupwise","2",17,32,1,0.013618055575562402,0.9964783639529673
"168.wupwise","2",17,4,1,0.013582487349468,0.9969987088722713
"168.wupwise","2",17,64,1,0.013621085132527355,0.9967000466999049
"168.wupwise","2",17,8,1,0.013610455844711085,0.9959222664012145
"168.wupwise","2",18,16,1,0.012998330307156898,1.0098170320217486
"168.wupwise","2",18,32,1,0.013045110800846008,0.9984286837095919
"168.wupwise","2",18,4,1,0.013000169681028476,1.0070226525233712
"168.wupwise","2",18,64,1,0.01307646736139425,0.9957484961164278
"168.wupwise","2",18,8,1,0.01289362487808617,1.0124445648263578
"168.wupwise","2",19,16,1,0.012319604578349169,1.0222476614274352
"168.wupwise","2",19,32,1,0.012374168901766996,1.0267118380444245
"168.wupwise","2",19,4,1,0.012240936221211248,1.0120433395733897
"168.wupwise","2",19,64,1,0.012401599634499778,1.0289834138733367
"168.wupwise","2",19,8,1,0.012328622193536962,1.022641137396268
"168.wupwise","2",20,16,1,0.012114949607873913,1.0058561657473097
"168.wupwise","2",20,32,1,0.012116249604332755,1.005964099291889
"168.wupwise","2",20,4,1,0.01207117121780839,1.0021567887698435
"168.wupwise","2",20,64,1,0.012132936391176498,1.0073495369516858
"168.wupwise","2",20,8,1,0.012088951293599508,1.003697628934664
"168.wupwise","2",21,16,1,0.011999900728717618,0.9963041140915222
"168.wupwise","2",21,32,1,0.012002728422878403,0.996538886310849
"168.wupwise","2",21,4,1,0.012027761025497668,0.998629428379655
"168.wupwise","2",21,64,1,0.012001265321273793,0.9964174107935958
"168.wupwise","2",21,8,1,0.012004072021702944,0.996650439986737
"168.wupwise","2",22,16,1,0.01149270509167239,0.9704444010205908
"168.wupwise","2",22,32,1,0.011485985482647247,0.9667504223122214
"168.wupwise","2",22,4,1,0.011367026924699826,1.0014077519829812
"168.wupwise","2",22,64,1,0.01147792227479756,0.9547769664470713
"168.wupwise","2",22,8,1,0.011529009713276398,0.9774471306952762
"168.wupwise","2",23,16,1,0.010769871532702736,1.0372009828523403
"168.wupwise","2",23,32,1,0.010762675527459756,1.0363034404861606
"168.wupwise","2",23,4,1,0.010641748403446089,1.02022343391663
"168.wupwise","2",23,64,1,0.010764574652721369,1.0364624489642333
"168.wupwise","2",23,8,1,0.01066805354918283,1.0269688724198127
"168.wupwise","2",24,16,1,0.010221528181655904,0.9848201293778932
"168.wupwise","2",24,32,1,0.010249149472875821,0.9874813756327928
"168.wupwise","2",24,4,1,0.01023040207052713,0.9856751076385735
"168.wupwise","2",24,64,1,0.010246849851810739,0.9872598125676048
"168.wupwise","2",24,8,1,0.010216476766844404,0.9843334374762722
"168.wupwise","2",25,16,1,0.009332913583586452,1.0025871176702237
"168.wupwise","2",25,32,1,0.00933810388000722,1.0033270973032382
"168.wupwise","2",25,4,1,0.009303262360007822,0.9984230450672195
"168.wupwise","2",25,64,1,0.009346616030733376,1.0037841388062143
"168.wupwise","2",25,8,1,0.009329162165233794,1.0053011794919895
"168.wupwise","l",16,16,1,0.013666182897880921,1.0
"168.wupwise","l",16,32,1,0.013666182897880921,1.0
"168.wupwise","l",16,4,1,0.01368962320670091,1.0
"168.wupwise","l",16,64,1,0.013666182897880921,1.0
"168.wupwise","l",16,8,1,0.0136677994152167,1.0
"168.wupwise","l",17,16,1,0.013666182897880921,1.0
"168.wupwise","l",17,32,1,0.013666182897880921,1.0
"168.wupwise","l",17,4,1,0.013623375064177838,1.0
"168.wupwise","l",17,64,1,0.013666182897880921,1.0
"168.wupwise","l",17,8,1,0.013666182897880921,1.0
"168.wupwise","l",18,16,1,0.01287196580665016,1.0
"168.wupwise","l",18,32,1,0.01306564105548111,1.0
"168.wupwise","l",18,4,1,0.012909510673322976,1.0
"168.wupwise","l",18,64,1,0.01313229938322225,1.0
"168.wupwise","l",18,8,1,0.012735141583082654,1.0
"168.wupwise","l",19,16,1,0.01205148717204836,1.0
"168.wupwise","l",19,32,1,0.012052231642070131,1.0
"168.wupwise","l",19,4,1,0.012095268791918749,1.0
"168.wupwise","l",19,64,1,0.012052283318947997,1.0
"168.wupwise","l",19,8,1,0.012055668154448286,1.0
"168.wupwise","l",20,16,1,0.012044415514292745,1.0
"168.wupwise","l",20,32,1,0.012044415514292745,1.0
"168.wupwise","l",20,4,1,0.012045192282363185,1.0
"168.wupwise","l",20,64,1,0.012044415514292745,1.0
"168.wupwise","l",20,8,1,0.012044415514292745,1.0
"168.wupwise","l",21,16,1,0.012044415514292745,1.0
"168.wupwise","l",21,32,1,0.012044415514292745,1.0
"168.wupwise","l",21,4,1,0.012044268558171312,1.0
"168.wupwise","l",21,64,1,0.012044415514292745,1.0
"168.wupwise","l",21,8,1,0.012044415514292745,1.0
"168.wupwise","l",22,16,1,0.011842723889782676,1.0
"168.wupwise","l",22,32,1,0.011881024530794296,1.0
"168.wupwise","l",22,4,1,0.011351047465121887,1.0
"168.wupwise","l",22,64,1,0.012021574334275528,1.0
"168.wupwise","l",22,8,1,0.011795021286804127,1.0
"168.wupwise","l",23,16,1,0.010383591715354145,1.0
"168.wupwise","l",23,32,1,0.010385641026542058,1.0
"168.wupwise","l",23,4,1,0.010430801773090524,1.0
"168.wupwise","l",23,64,1,0.010385880032102193,1.0
"168.wupwise","l",23,8,1,0.010387903504851173,1.0
"168.wupwise","l",24,16,1,0.010379081292857814,1.0
"168.wupwise","l",24,32,1,0.010379081292857814,1.0
"168.wupwise","l",24,4,1,0.010379081292857814,1.0
"168.wupwise","l",24,64,1,0.010379081292857814,1.0
"168.wupwise","l",24,8,1,0.010379081292857814,1.0
"168.wupwise","l",25,16,1,0.009308830543597992,1.0
"168.wupwise","l",25,32,1,0.009307138125847847,1.0
