name,policy,size,level,miss
164.gzip,2,16,1,0.022637832220929622
164.gzip,2,17,1,0.009775595641491363
164.gzip,2,18,1,0.0013039401274198082
164.gzip,2,19,1,0.0004282525807771967
164.gzip,2,20,1,0.0003579903151841885
164.gzip,2,21,1,0.00034273156465159646
164.gzip,2,22,1,0.0003400163909949462
164.gzip,2,23,1,0.0003399561224846393
164.gzip,2,24,1,0.0003399561224846393
164.gzip,2,25,1,0.0003399561224846393
164.gzip,f,16,1,0.023138471918624753
164.gzip,f,17,1,0.01008982792749985
164.gzip,f,18,1,0.0017113552570949722
164.gzip,f,19,1,0.0006098972348031707
164.gzip,f,20,1,0.0004410990455510915
164.gzip,f,21,1,0.0003813791332225499
164.gzip,f,22,1,0.0003590581495591147
164.gzip,f,23,1,0.00034633531249867003
164.gzip,f,24,1,0.0003399561224846393
164.gzip,f,25,1,0.0003399561224846393
164.gzip,l,16,1,0.022261305475459993
164.gzip,l,17,1,0.009359483302174978
164.gzip,l,18,1,0.0008955220679192793
164.gzip,l,19,1,0.0003401137478192883
164.gzip,l,20,1,0.0003400102096092737
164.gzip,l,21,1,0.00033997312129523864
164.gzip,l,22,1,0.0003399561224846393
164.gzip,l,23,1,0.0003399561224846393
164.gzip,l,24,1,0.0003399561224846393
164.gzip,l,25,1,0.0003399561224846393
164.gzip,r,16,1,0.023584308996293823
164.gzip,r,17,1,0.010553995904380751
164.gzip,r,18,1,0.0017325682273766098
164.gzip,r,19,1,0.0006050000320041244
164.gzip,r,20,1,0.00043824015467755544
164.gzip,r,21,1,0.0003795247175207968
164.gzip,r,22,1,0.00035552085160802055
164.gzip,r,23,1,0.000344675610445601
164.gzip,r,24,1,0.0003399561224846393
164.gzip,r,25,1,0.0003399561224846393
168.wupwise,2,16,1,0.013833427038585328
168.wupwise,2,17,1,0.013610455844711085
168.wupwise,2,18,1,0.01289362487808617
168.wupwise,2,19,1,0.012328622193536962
168.wupwise,2,20,1,0.012088951293599508
168.wupwise,2,21,1,0.012004072021702944
168.wupwise,2,22,1,0.011529009713276398
168.wupwise,2,23,1,0.01066805354918283
168.wupwise,2,24,1,0.010216476766844404
168.wupwise,2,25,1,0.009329162165233794
168.wupwise,f,16,1,0.01401272158124735
168.wupwise,f,17,1,0.013838444540445728
168.wupwise,f,18,1,0.012920196482724413
168.wupwise,f,19,1,0.012102044922529061
168.wupwise,f,20,1,0.012062702669447933
168.wupwise,f,21,1,0.012053546172650873
168.wupwise,f,22,1,0.011769270052602024
168.wupwise,f,23,1,0.010425727749644956
168.wupwise,f,24,1,0.010379927501732887
168.wupwise,f,25,1,0.009562544635095807
168.wupwise,l,16,1,0.0136677994152167
168.wupwise,l,17,1,0.013666182897880921
168.wupwise,l,18,1,0.012735141583082654
168.wupwise,l,19,1,0.012055668154448286
168.wupwise,l,20,1,0.012044415514292745
168.wupwise,l,21,1,0.012044415514292745
168.wupwise,l,22,1,0.011795021286804127
168.wupwise,l,23,1,0.010387903504851173
168.wupwise,l,24,1,0.010379081292857814
168.wupwise,l,25,1,0.009279967392406835
168.wupwise,r,16,1,0.014886845659782407
168.wupwise,r,17,1,0.014150333877202327
168.wupwise,r,18,1,0.013491067722716394
168.wupwise,r,19,1,0.01285938571669441
168.wupwise,r,20,1,0.012376583180904847
168.wupwise,r,21,1,0.012021647004885028
168.wupwise,r,22,1,0.011568119420407124
168.wupwise,r,23,1,0.010945619749621134
168.wupwise,r,24,1,0.010330069004005824
168.wupwise,r,25,1,0.009307847068016087
171.swim,2,16,1,0.08531403865635653
171.swim,2,17,1,0.07763273729521539
171.swim,2,18,1,0.07234192688246321
171.swim,2,19,1,0.07016131725220524
171.swim,2,20,1,0.06981494315083643
171.swim,2,21,1,0.06980793072224571
171.swim,2,22,1,0.06979435022902876
171.swim,2,23,1,0.0697288871993657
171.swim,2,24,1,0.06917083910606382
171.swim,2,25,1,0.06719837290473317
171.swim,f,16,1,0.08680415690497066
171.swim,f,17,1,0.0702059210460408
171.swim,f,18,1,0.06984365028037974
171.swim,f,19,1,0.06982996630514365
171.swim,f,20,1,0.0698214351257427
171.swim,f,21,1,0.06981086778543584
171.swim,f,22,1,0.0697966420513937
171.swim,f,23,1,0.06976964998413811
171.swim,f,24,1,0.06924012640505166
171.swim,f,25,1,0.06673812445027935
171.swim,l,16,1,0.08676395261874269
171.swim,l,17,1,0.07932949239630178
171.swim,l,18,1,0.06982124946682601
171.swim,l,19,1,0.06981819979085035
171.swim,l,20,1,0.06981534490455778
171.swim,l,21,1,0.06980782876202098
171.swim,l,22,1,0.06979512786596667
171.swim,l,23,1,0.06976892713179857
171.swim,l,24,1,0.06937663440623344
171.swim,l,25,1,0.06728104438546047
171.swim,r,16,1,0.08438076323988025
171.swim,r,17,1,0.07883498226274821
171.swim,r,18,1,0.0755653993874604
171.swim,r,19,1,0.07232983013878531
171.swim,r,20,1,0.07013009611831474
171.swim,r,21,1,0.06981127562633477
171.swim,r,22,1,0.06978486792812841
171.swim,r,23,1,0.06961889798738141
171.swim,r,24,1,0.06891204883774239
